From<->To,Time
WP10<->WP9,277
WP10<->WP8,335
WP1_TOP<->WP8,611
WP1_TOP<->WP9,473
WP2_TOP<->WP9,500
WP2_TOP<->WP8,474
WP3_TOP<->WP8,361
WP3_TOP<->WP9,529
WP4_TOP<->WP9,558
WP4_TOP<->WP8,331
WP5_TOP<->WP8,584
WP5_TOP<->WP9,356
WP6_TOP<->WP9,307
WP6_TOP<->WP8,445
WP7_TOP<->WP8,306
WP7_TOP<->WP9,361
WP8_TOP<->WP9,473
WP8<->WP8_TOP,250
WP8<->WP9_TOP,473
WP9<->WP9_TOP,248
WP10_TOP<->WP9,306
WP10_TOP<->WP8,360
A1<->WP8,558
A1<->WP9,377
A2<->WP9,473
A2<->WP8,435
A7<->WP8,247
A7<->WP9,321
A8<->WP9,417
A8<->WP8,153
DA5<->WP8,530
DA5<->WP9,304
DA6<->WP9,278
DA6<->WP8,444
A1_TOP<->WP8,584
A1_TOP<->WP9,432
A2_TOP<->WP9,473
A2_TOP<->WP8,502
A7_TOP<->WP8,277
A7_TOP<->WP9,349
A8_TOP<->WP9,444
A8_TOP<->WP8,209
DA5_TOP<->WP8,555
DA5_TOP<->WP9,334
DA6_TOP<->WP9,304
DA6_TOP<->WP8,472
BIN1<->WP8,416
BIN1<->WP9,722
BIN1_TOP<->WP9,726
BIN1_TOP<->WP8,418
WP10<->WP1_TOP,517
WP1_TOP<->WP2_TOP,279
WP10<->WP2_TOP,500
WP10<->WP3_TOP,502
WP1_TOP<->WP3_TOP,419
WP1_TOP<->WP4_TOP,584
WP10<->WP4_TOP,502
WP10<->WP5_TOP,471
WP1_TOP<->WP5_TOP,277
WP1_TOP<->WP6_TOP,335
WP10<->WP6_TOP,361
WP10<->WP7_TOP,333
WP1_TOP<->WP7_TOP,446
WP1_TOP<->WP8_TOP,584
WP10<->WP8_TOP,362
WP10<->WP9_TOP,306
WP1_TOP<->WP9_TOP,473
WP10_TOP<->WP1_TOP,556
WP10<->WP10_TOP,250
A1<->WP10,531
A1<->WP1_TOP,210
A2<->WP1_TOP,277
A2<->WP10,433
A7<->WP10,305
A7<->WP1_TOP,489
A8<->WP1_TOP,583
A8<->WP10,265
DA5<->WP10,417
DA5<->WP1_TOP,306
DA6<->WP1_TOP,332
DA6<->WP10,361
A1_TOP<->WP10,529
A1_TOP<->WP1_TOP,125
A2_TOP<->WP1_TOP,250
A2_TOP<->WP10,460
A7_TOP<->WP10,334
A7_TOP<->WP1_TOP,433
A8_TOP<->WP1_TOP,555
A8_TOP<->WP10,322
DA5_TOP<->WP10,446
DA5_TOP<->WP1_TOP,276
DA6_TOP<->WP1_TOP,306
DA6_TOP<->WP10,387
BIN1<->WP10,614
BIN1<->WP1_TOP,777
BIN1_TOP<->WP1_TOP,778
BIN1_TOP<->WP10,612
WP2_TOP<->WP3_TOP,237
WP3_TOP<->WP4_TOP,277
WP2_TOP<->WP4_TOP,419
WP2_TOP<->WP5_TOP,389
WP3_TOP<->WP5_TOP,473
WP3_TOP<->WP6_TOP,361
WP2_TOP<->WP6_TOP,304
WP2_TOP<->WP7_TOP,332
WP3_TOP<->WP7_TOP,306
WP3_TOP<->WP8_TOP,361
WP2_TOP<->WP8_TOP,446
WP2_TOP<->WP9_TOP,499
WP3_TOP<->WP9_TOP,527
WP10_TOP<->WP3_TOP,530
WP10_TOP<->WP2_TOP,502
A1<->WP2_TOP,277
A1<->WP3_TOP,348
A2<->WP3_TOP,332
A2<->WP2_TOP,208
A7<->WP2_TOP,389
A7<->WP3_TOP,265
A8<->WP3_TOP,361
A8<->WP2_TOP,433
DA5<->WP2_TOP,361
DA5<->WP3_TOP,442
DA6<->WP3_TOP,389
DA6<->WP2_TOP,332
A1_TOP<->WP2_TOP,252
A1_TOP<->WP3_TOP,349
A2_TOP<->WP3_TOP,305
A2_TOP<->WP2_TOP,153
A7_TOP<->WP2_TOP,360
A7_TOP<->WP3_TOP,265
A8_TOP<->WP3_TOP,333
A8_TOP<->WP2_TOP,378
DA5_TOP<->WP2_TOP,360
DA5_TOP<->WP3_TOP,417
DA6_TOP<->WP3_TOP,362
DA6_TOP<->WP2_TOP,332
BIN1<->WP2_TOP,641
BIN1<->WP3_TOP,501
BIN1_TOP<->WP3_TOP,500
BIN1_TOP<->WP2_TOP,640
WP4_TOP<->WP5_TOP,545
WP5_TOP<->WP6_TOP,276
WP4_TOP<->WP6_TOP,444
WP4_TOP<->WP7_TOP,334
WP5_TOP<->WP7_TOP,416
WP5_TOP<->WP8_TOP,557
WP4_TOP<->WP8_TOP,305
WP4_TOP<->WP9_TOP,555
WP5_TOP<->WP9_TOP,335
WP10_TOP<->WP5_TOP,444
WP10_TOP<->WP4_TOP,502
A1<->WP4_TOP,557
A1<->WP5_TOP,264
A2<->WP5_TOP,362
A2<->WP4_TOP,431
A7<->WP4_TOP,333
A7<->WP5_TOP,431
A8<->WP5_TOP,556
A8<->WP4_TOP,265
DA5<->WP4_TOP,584
DA5<->WP5_TOP,252
DA6<->WP5_TOP,275
DA6<->WP4_TOP,503
A1_TOP<->WP4_TOP,526
A1_TOP<->WP5_TOP,267
A2_TOP<->WP5_TOP,359
A2_TOP<->WP4_TOP,405
A7_TOP<->WP4_TOP,305
A7_TOP<->WP5_TOP,406
A8_TOP<->WP5_TOP,528
A8_TOP<->WP4_TOP,264
DA5_TOP<->WP4_TOP,557
DA5_TOP<->WP5_TOP,166
DA6_TOP<->WP5_TOP,249
DA6_TOP<->WP4_TOP,501
BIN1<->WP4_TOP,361
BIN1<->WP5_TOP,807
BIN1_TOP<->WP5_TOP,806
BIN1_TOP<->WP4_TOP,362
WP6_TOP<->WP7_TOP,237
WP7_TOP<->WP8_TOP,276
WP6_TOP<->WP8_TOP,418
WP6_TOP<->WP9_TOP,334
WP7_TOP<->WP9_TOP,361
WP10_TOP<->WP7_TOP,333
WP10_TOP<->WP6_TOP,334
A1<->WP6_TOP,333
A1<->WP7_TOP,405
A2<->WP7_TOP,389
A2<->WP6_TOP,292
A7<->WP6_TOP,335
A7<->WP7_TOP,210
A8<->WP7_TOP,277
A8<->WP6_TOP,377
DA5<->WP6_TOP,277
DA5<->WP7_TOP,416
DA6<->WP7_TOP,332
DA6<->WP6_TOP,250
A1_TOP<->WP6_TOP,306
A1_TOP<->WP7_TOP,377
A2_TOP<->WP7_TOP,361
A2_TOP<->WP6_TOP,263
A7_TOP<->WP6_TOP,308
A7_TOP<->WP7_TOP,153
A8_TOP<->WP7_TOP,249
A8_TOP<->WP6_TOP,349
DA5_TOP<->WP6_TOP,250
DA5_TOP<->WP7_TOP,388
DA6_TOP<->WP7_TOP,305
DA6_TOP<->WP6_TOP,166
BIN1<->WP6_TOP,667
BIN1<->WP7_TOP,529
BIN1_TOP<->WP7_TOP,528
BIN1_TOP<->WP6_TOP,668
WP8_TOP<->WP9_TOP,406
WP10_TOP<->WP9_TOP,276
WP10_TOP<->WP8_TOP,335
A1<->WP8_TOP,558
A1<->WP9_TOP,433
A2<->WP9_TOP,472
A2<->WP8_TOP,460
A7<->WP8_TOP,278
A7<->WP9_TOP,349
A8<->WP9_TOP,444
A8<->WP8_TOP,195
DA5<->WP8_TOP,556
DA5<->WP9_TOP,332
DA6<->WP9_TOP,333
DA6<->WP8_TOP,473
A1_TOP<->WP8_TOP,557
A1_TOP<->WP9_TOP,405
A2_TOP<->WP9_TOP,473
A2_TOP<->WP8_TOP,433
A7_TOP<->WP8_TOP,250
A7_TOP<->WP9_TOP,321
A8_TOP<->WP9_TOP,417
A8_TOP<->WP8_TOP,127
DA5_TOP<->WP8_TOP,528
DA5_TOP<->WP9_TOP,305
DA6_TOP<->WP9_TOP,307
DA6_TOP<->WP8_TOP,445
BIN1<->WP8_TOP,389
BIN1<->WP9_TOP,724
BIN1_TOP<->WP9_TOP,723
BIN1_TOP<->WP8_TOP,389
A1<->WP10_TOP,516
A1<->A2,182
A2<->WP10_TOP,463
A7<->WP10_TOP,332
A1<->A7,433
A1<->A8,488
A8<->WP10_TOP,293
DA5<->WP10_TOP,446
A1<->DA5,306
A1<->DA6,238
DA6<->WP10_TOP,389
A1_TOP<->WP10_TOP,531
A1<->A1_TOP,208
A1<->A2_TOP,210
A2_TOP<->WP10_TOP,460
A7_TOP<->WP10_TOP,335
A1<->A7_TOP,406
A1<->A8_TOP,488
A8_TOP<->WP10_TOP,265
DA5_TOP<->WP10_TOP,417
A1<->DA5_TOP,303
A1<->DA6_TOP,293
DA6_TOP<->WP10_TOP,359
BIN1<->WP10_TOP,585
A1<->BIN1,752
A1<->BIN1_TOP,713
BIN1_TOP<->WP10_TOP,611
A2<->A7,349
A7<->A8,154
A2<->A8,431
A2<->DA5,322
A7<->DA5,416
A7<->DA6,291
A2<->DA6,304
A1_TOP<->A2,237
A1_TOP<->A7,432
A2_TOP<->A7,377
A2<->A2_TOP,209
A2<->A7_TOP,349
A7<->A7_TOP,183
A7<->A8_TOP,209
A2<->A8_TOP,432
A2<->DA5_TOP,294
A7<->DA5_TOP,445
