TaskId,Name,Start,Position,time
5,R,0.0,DA6_TOP,111.0
5,R,111.0,DA6,55.0
5,G,166.0,DA6,20.0
5,M,186.0,DA6_TOP,58.99999999999999
5,DA,245.0,DA6_TOP,20.0
5,M,265.0,BIN1_TOP,117.99999999999999
5,M,383.0,BIN1,58.99999999999999
5,RL,442.0,BIN1,20.0
5,R,462.0,BIN1_TOP,55.0
6,R,557.0,WP7_TOP,156.0
6,R,713.0,WP7,55.0
6,G,768.0,WP7,20.0
6,M,788.0,WP7_TOP,58.99999999999999
6,M,847.0,A7_TOP,40.0
6,A,887.0,A7_TOP,20.0
6,M,907.0,A7,58.99999999999999
6,RL,966.0,A7,20.0
6,R,986.0,A7_TOP,55.0
0,R,1039.0,WP1_TOP,117.0
0,R,1156.0,WP1,55.0
0,G,1211.0,WP1,20.0
0,M,1231.0,WP1_TOP,58.99999999999999
0,M,1290.0,A1_TOP,40.0
0,A,1330.0,A1_TOP,20.0
0,M,1350.0,BIN1_TOP,105.0
0,M,1455.0,BIN1,58.99999999999999
0,RL,1514.0,BIN1,20.0
0,R,1534.0,BIN1_TOP,55.0
8,R,1587.0,WP9_TOP,128.0
8,R,1715.0,WP9,55.0
8,G,1770.0,WP9,20.0
8,M,1790.0,WP9_TOP,58.99999999999999
8,M,1849.0,BIN1_TOP,133.0
8,M,1982.0,BIN1,58.99999999999999
8,RL,2041.0,BIN1,20.0
8,R,2061.0,BIN1_TOP,55.0
2,R,2114.0,WP3_TOP,156.0
2,R,2270.0,WP3,55.0
2,G,2325.0,WP3,20.0
2,M,2345.0,WP3_TOP,58.99999999999999
2,M,2404.0,BIN2_TOP,123.00000000000001
2,M,2527.0,BIN2,58.99999999999999
2,RL,2586.0,BIN2,20.0
2,R,2606.0,BIN2_TOP,55.0
