TaskId,Name,Start,Position,time
5,R,102.0,DA5_TOP,142.0
5,DA,244.0,DA5_TOP,20.0
5,M,264.0,WP5_TOP,40.0
5,M,304.0,WP5,58.99999999999999
5,RL,363.0,WP5,20.0
10,R,382.0,WP8_TOP,142.0
10,R,524.0,WP8,55.0
10,G,579.0,WP8,20.0
10,M,599.0,WP8_TOP,58.99999999999999
10,M,658.0,A8_TOP,40.0
10,A,698.0,A8_TOP,20.0
10,M,718.0,A8,58.99999999999999
10,RL,777.0,A8,20.0
1,R,795.0,WP2_TOP,105.0
1,R,900.0,WP2,55.0
1,G,955.0,WP2,20.0
1,M,975.0,WP2_TOP,58.99999999999999
1,M,1034.0,A2_TOP,40.0
1,A,1074.0,A2_TOP,20.0
1,M,1094.0,A2,58.99999999999999
1,RL,1153.0,A2,20.0
3,R,1171.0,WP3_TOP,88.0
3,R,1259.0,WP3,55.0
3,G,1314.0,WP3,20.0
3,M,1334.0,WP3_TOP,58.99999999999999
3,M,1393.0,BIN2_TOP,123.00000000000001
3,M,1516.0,BIN2,58.99999999999999
3,RL,1575.0,BIN2,20.0
11,R,1593.0,A8_TOP,100.0
11,R,1693.0,A8,55.0
11,G,1748.0,A8,20.0
11,M,1768.0,A8_TOP,58.99999999999999
11,M,1827.0,BIN1_TOP,168.0
11,M,1995.0,BIN1,58.99999999999999
11,RL,2054.0,BIN1,20.0
4,R,2072.0,WP4_TOP,184.0
4,R,2256.0,WP4,55.0
4,G,2311.0,WP4,20.0
4,M,2331.0,WP4_TOP,58.99999999999999
4,M,2390.0,BIN2_TOP,92.0
4,M,2482.0,BIN2,58.99999999999999
4,RL,2541.0,BIN2,20.0
