TaskId,Name,Start,Position,time
4,R,102.0,DA5_TOP,142.0
4,DA,244.0,DA5_TOP,20.0
4,M,264.0,WP5_TOP,40.0
4,M,304.0,BIN1_TOP,92.0
4,M,396.0,BIN1,58.99999999999999
4,RL,455.0,BIN1,20.0
4,R,475.0,BIN1_TOP,55.0
7,R,529.0,WP8_TOP,184.0
7,R,713.0,WP8,55.0
7,G,768.0,WP8,20.0
7,M,788.0,WP8_TOP,58.99999999999999
7,M,847.0,A8_TOP,40.0
7,A,887.0,A8_TOP,20.0
7,M,907.0,BIN1_TOP,168.0
7,M,1075.0,BIN1,58.99999999999999
7,RL,1134.0,BIN1,20.0
7,R,1154.0,BIN1_TOP,55.0
9,R,1207.0,WP10_TOP,156.0
9,R,1363.0,WP10,55.0
9,G,1418.0,WP10,20.0
9,M,1438.0,WP10_TOP,58.99999999999999
9,M,1497.0,BIN2_TOP,133.0
9,M,1630.0,BIN2,58.99999999999999
9,RL,1689.0,BIN2,20.0
9,R,1709.0,BIN2_TOP,55.0
3,R,1762.0,WP4_TOP,88.0
3,R,1850.0,WP4,55.0
3,G,1905.0,WP4,20.0
3,M,1925.0,WP4_TOP,58.99999999999999
3,M,1984.0,BIN2_TOP,92.0
3,M,2076.0,BIN2,58.99999999999999
3,RL,2135.0,BIN2,20.0
3,R,2155.0,BIN2_TOP,55.0
