TaskId,Name,Start,Position,time
0,R,142.0,WP1_TOP,472
0,R,614.0,WP1,46
0,G,660.0,WP1,44
0,M,704.0,WP1_TOP,46
0,M,750.0,A1_TOP,45
0,A,795.0,A1_TOP,44
0,RL,839.0,A1_TOP,44
2,R,883.0,WP3_TOP,16
2,R,899.0,WP3,176
2,G,1075.0,WP3,44
2,M,1119.0,WP3_TOP,176
2,M,1295.0,BIN1_TOP,46
2,M,1341.0,BIN1,17
2,RL,1358.0,BIN1,44
2,R,1402.0,BIN1_TOP,17
3,R,1419.0,WP4_TOP,16
3,R,1435.0,WP4,173
3,G,1608.0,WP4,44
3,M,1652.0,WP4_TOP,173
3,M,1825.0,BIN1_TOP,16
3,M,1841.0,BIN1,17
3,RL,1858.0,BIN1,44
3,R,1902.0,BIN1_TOP,17
