From<->To,Time
BOT<->WP1,343
BOT<->WP2,183
BOT<->WP3,238
BOT<->WP4,349
BOT<->WP5,406
BOT<->WP6,322
BOT<->WP7,322
BOT<->WP8,405
BOT<->WP9,517
BOT<->WP10,517
BOT<->WP1_TOP,266
BOT<->WP2_TOP,126
BOT<->WP3_TOP,182
BOT<->WP4_TOP,322
BOT<->WP5_TOP,406
BOT<->WP6_TOP,322
BOT<->WP7_TOP,321
BOT<->WP8_TOP,405
BOT<->WP9_TOP,517
BOT<->WP10_TOP,518
A1<->BOT,266
A2<->BOT,210
A7<->BOT,350
A8<->BOT,377
BOT<->DA5,378
BOT<->DA6,349
A1_TOP<->BOT,237
A2_TOP<->BOT,154
A7_TOP<->BOT,321
A8_TOP<->BOT,377
BOT<->DA5_TOP,378
BOT<->DA6_TOP,322
BIN1<->BOT,573
BIN1_TOP<->BOT,573
WP1<->WP2,233
WP1<->WP3,378
WP1<->WP4,545
WP1<->WP5,238
WP1<->WP6,294
WP1<->WP7,432
WP1<->WP8,545
WP1<->WP9,405
WP1<->WP10,490
WP1<->WP1_TOP,182
WP1<->WP2_TOP,266
WP1<->WP3_TOP,406
WP1<->WP4_TOP,547
WP1<->WP5_TOP,266
WP1<->WP6_TOP,321
WP1<->WP7_TOP,433
WP1<->WP8_TOP,545
WP1<->WP9_TOP,433
WP1<->WP10_TOP,517
A1<->WP1,126
A2<->WP1,185
A7<->WP1,433
A8<->WP1,518
DA5<->WP1,238
DA6<->WP1,266
A1_TOP<->WP1,183
A2_TOP<->WP1,238
A7_TOP<->WP1,461
A8_TOP<->WP1,518
DA5_TOP<->WP1,266
DA6_TOP<->WP1,293
BIN1<->WP1,769
BIN1_TOP<->WP1,768
WP2<->WP3,210
WP2<->WP4,378
WP2<->WP5,349
WP2<->WP6,266
WP2<->WP7,293
WP2<->WP8,406
WP2<->WP9,433
WP10<->WP2,433
WP1_TOP<->WP2,265
WP2<->WP2_TOP,183
WP2<->WP3_TOP,265
WP2<->WP4_TOP,378
WP2<->WP5_TOP,349
WP2<->WP6_TOP,266
WP2<->WP7_TOP,322
WP2<->WP8_TOP,405
WP2<->WP9_TOP,462
WP10_TOP<->WP2,462
A1<->WP2,183
A2<->WP2,98
A7<->WP2,321
A8<->WP2,405
DA5<->WP2,350
DA6<->WP2,294
A1_TOP<->WP2,239
A2_TOP<->WP2,209
A7_TOP<->WP2,322
A8_TOP<->WP2,378
DA5_TOP<->WP2,321
DA6_TOP<->WP2,266
