TaskId,Name,Start,Position,time
5,R,0.0,DA6_TOP,111.0
5,R,111.0,DA6,55.0
5,G,166.0,DA6,20.0
5,M,186.0,DA6_TOP,58.99999999999999
5,DA,245.0,DA6_TOP,20.0
5,M,265.0,BIN1_TOP,117.99999999999999
5,M,383.0,BIN1,58.99999999999999
5,RL,442.0,BIN1,20.0
5,R,462.0,BIN1_TOP,55.0
6,R,1117.0,WP7_TOP,156.0
6,R,1273.0,WP7,55.0
6,G,1328.0,WP7,20.0
6,M,1348.0,WP7_TOP,58.99999999999999
6,M,1407.0,A7_TOP,40.0
6,A,1447.0,A7_TOP,20.0
6,RL,1467.0,A7_TOP,20.0
9,R,1486.0,WP10_TOP,74.0
9,R,1560.0,WP10,55.0
9,G,1615.0,WP10,20.0
9,M,1635.0,WP10_TOP,58.99999999999999
9,M,1694.0,BIN1_TOP,156.0
9,M,1850.0,BIN1,58.99999999999999
9,RL,1909.0,BIN1,20.0
9,R,1929.0,BIN1_TOP,55.0
