From<->To,Time
BIN1<->WP8,417
BIN1<->WP9,724
BIN1_TOP<->WP9,724
BIN1_TOP<->WP8,416
WP10<->WP1_TOP,517
WP1_TOP<->WP2_TOP,277
WP10<->WP2_TOP,501
WP10<->WP3_TOP,502
WP1_TOP<->WP3_TOP,418
WP1_TOP<->WP4_TOP,556
WP10<->WP4_TOP,501
WP10<->WP5_TOP,472
WP1_TOP<->WP5_TOP,279
WP1_TOP<->WP6_TOP,333
WP10<->WP6_TOP,360
WP10<->WP7_TOP,334
WP1_TOP<->WP7_TOP,445
WP1_TOP<->WP8_TOP,593
WP10<->WP8_TOP,354
WP10<->WP9_TOP,318
WP1_TOP<->WP9_TOP,457
WP10_TOP<->WP1_TOP,558
WP10<->WP10_TOP,250
A1_TOP<->WP10,527
A1_TOP<->WP1_TOP,167
A2_TOP<->WP1_TOP,250
A2_TOP<->WP10,503
A7_TOP<->WP10,332
A7_TOP<->WP1_TOP,502
A8_TOP<->WP1_TOP,556
A8_TOP<->WP10,333
DA3_TOP<->WP10,502
DA3_TOP<->WP1_TOP,471
DA4_TOP<->WP1_TOP,528
DA4_TOP<->WP10,501
BIN1<->WP10,613
BIN1<->WP1_TOP,780
BIN1_TOP<->WP1_TOP,779
BIN1_TOP<->WP10,613
WP2_TOP<->WP3_TOP,237
WP3_TOP<->WP4_TOP,279
WP2_TOP<->WP4_TOP,417
WP2_TOP<->WP5_TOP,390
WP3_TOP<->WP5_TOP,474
WP3_TOP<->WP6_TOP,361
WP2_TOP<->WP6_TOP,305
WP2_TOP<->WP7_TOP,334
WP3_TOP<->WP7_TOP,306
WP3_TOP<->WP8_TOP,361
WP2_TOP<->WP8_TOP,445
WP2_TOP<->WP9_TOP,501
WP3_TOP<->WP9_TOP,530
WP10_TOP<->WP3_TOP,528
WP10_TOP<->WP2_TOP,501
A1_TOP<->WP2_TOP,250
A1_TOP<->WP3_TOP,390
A2_TOP<->WP3_TOP,305
A2_TOP<->WP2_TOP,166
A7_TOP<->WP2_TOP,363
A7_TOP<->WP3_TOP,306
A8_TOP<->WP3_TOP,333
A8_TOP<->WP2_TOP,416
DA3_TOP<->WP2_TOP,307
DA3_TOP<->WP3_TOP,167
DA4_TOP<->WP3_TOP,251
DA4_TOP<->WP2_TOP,390
BIN1<->WP2_TOP,640
BIN1<->WP3_TOP,500
BIN1_TOP<->WP3_TOP,501
BIN1_TOP<->WP2_TOP,641
WP4_TOP<->WP5_TOP,544
WP5_TOP<->WP6_TOP,277
WP4_TOP<->WP6_TOP,445
WP4_TOP<->WP7_TOP,333
WP5_TOP<->WP7_TOP,419
WP5_TOP<->WP8_TOP,556
WP4_TOP<->WP8_TOP,306
WP4_TOP<->WP9_TOP,557
WP5_TOP<->WP9_TOP,335
WP10_TOP<->WP5_TOP,445
WP10_TOP<->WP4_TOP,501
A1_TOP<->WP4_TOP,529
A1_TOP<->WP5_TOP,306
A2_TOP<->WP5_TOP,361
A2_TOP<->WP4_TOP,446
A7_TOP<->WP4_TOP,306
A7_TOP<->WP5_TOP,445
A8_TOP<->WP5_TOP,529
A8_TOP<->WP4_TOP,305
DA3_TOP<->WP4_TOP,250
DA3_TOP<->WP5_TOP,502
DA4_TOP<->WP5_TOP,557
DA4_TOP<->WP4_TOP,166
BIN1<->WP4_TOP,361
BIN1<->WP5_TOP,807
BIN1_TOP<->WP5_TOP,809
BIN1_TOP<->WP4_TOP,335
WP6_TOP<->WP7_TOP,238
WP7_TOP<->WP8_TOP,278
WP6_TOP<->WP8_TOP,417
WP6_TOP<->WP9_TOP,334
WP7_TOP<->WP9_TOP,361
WP10_TOP<->WP7_TOP,334
WP10_TOP<->WP6_TOP,334
A1_TOP<->WP6_TOP,307
A1_TOP<->WP7_TOP,417
A2_TOP<->WP7_TOP,362
A2_TOP<->WP6_TOP,277
A7_TOP<->WP6_TOP,307
A7_TOP<->WP7_TOP,166
A8_TOP<->WP7_TOP,251
A8_TOP<->WP6_TOP,389
DA3_TOP<->WP6_TOP,361
DA3_TOP<->WP7_TOP,308
DA4_TOP<->WP7_TOP,305
DA4_TOP<->WP6_TOP,418
BIN1<->WP6_TOP,669
BIN1<->WP7_TOP,530
BIN1_TOP<->WP7_TOP,529
BIN1_TOP<->WP6_TOP,668
WP8_TOP<->WP9_TOP,406
WP10_TOP<->WP9_TOP,279
WP10_TOP<->WP8_TOP,333
A1_TOP<->WP8_TOP,558
A1_TOP<->WP9_TOP,445
A2_TOP<->WP9_TOP,474
A2_TOP<->WP8_TOP,500
A7_TOP<->WP8_TOP,250
A7_TOP<->WP9_TOP,362
A8_TOP<->WP9_TOP,418
A8_TOP<->WP8_TOP,167
DA3_TOP<->WP8_TOP,335
DA3_TOP<->WP9_TOP,528
DA4_TOP<->WP9_TOP,558
DA4_TOP<->WP8_TOP,306
BIN1<->WP8_TOP,391
BIN1<->WP9_TOP,724
BIN1_TOP<->WP9_TOP,725
BIN1_TOP<->WP8_TOP,389
A1_TOP<->WP10_TOP,488
A1_TOP<->A2_TOP,194
A2_TOP<->WP10_TOP,502
A7_TOP<->WP10_TOP,335
A1_TOP<->A7_TOP,445
A1_TOP<->A8_TOP,530
A8_TOP<->WP10_TOP,334
DA3_TOP<->WP10_TOP,529
A1_TOP<->DA3_TOP,418
A1_TOP<->DA4_TOP,501
DA4_TOP<->WP10_TOP,503
BIN1<->WP10_TOP,585
A1_TOP<->BIN1,753
A1_TOP<->BIN1_TOP,753
BIN1_TOP<->WP10_TOP,584
A2_TOP<->A7_TOP,349
A7_TOP<->A8_TOP,194
A2_TOP<->A8_TOP,444
A2_TOP<->DA3_TOP,335
A7_TOP<->DA3_TOP,305
A7_TOP<->DA4_TOP,306
A2_TOP<->DA4_TOP,417
A2_TOP<->BIN1,666
A7_TOP<->BIN1,501
A7_TOP<->BIN1_TOP,501
A2_TOP<->BIN1_TOP,670
A8_TOP<->DA3_TOP,292
DA3_TOP<->DA4_TOP,193
A8_TOP<->DA4_TOP,307
A8_TOP<->BIN1,417
BIN1<->DA3_TOP,445
BIN1_TOP<->DA3_TOP,444
A8_TOP<->BIN1_TOP,419
BIN1<->DA4_TOP,349
BIN1<->BIN1_TOP,85
BIN1_TOP<->DA4_TOP,387
